url,category
https://www.barandbench.com,legal
https://www.livelaw.in,legal
https://www.scconline.com,legal
https://www.lawctopus.com,legal
https://www.ipleaders.in,legal
https://www.latestlaws.com,legal
https://www.legalserviceindia.com,legal
https://www.nyaaya.org,legal
https://www.prsindia.org,legal
https://www.juscorpus.com,legal
https://www.lawyersclubindia.com,legal
https://www.advocatekhoj.com,legal
https://www.lawrato.com,legal
https://www.vidhikarya.com,legal
https://www.mylegalindia.com,legal
https://www.lawyered.in,legal
https://www.vakilsearch.com,legal
https://www.indiafilings.com,legal
https://www.legalwiz.in,legal
https://www.kanooniyat.com,legal
https://www.sci.gov.in,legal
https://www.indiacode.nic.in,legal
https://www.legislative.gov.in,legal
https://www.bombayhighcourt.nic.in,legal
https://www.delhihighcourt.nic.in,legal
https://www.mhc.tn.gov.in,legal
https://www.allahabadhighcourt.in,legal
https://www.calcuttahighcourt.gov.in,legal
https://www.karnatakajudiciary.kar.nic.in,legal
https://www.ghc.gujarat.gov.in,legal
https://www.districts.ecourts.gov.in,legal
https://www.njdg.ecourts.gov.in,legal
https://www.doj.gov.in,legal
https://www.mha.gov.in/legal,legal
https://www.lawmin.gov.in,legal
https://www.ipindia.gov.in,legal
https://www.cgpdtm.gov.in,legal
https://www.copyright.gov.in,legal
https://www.sebi.gov.in/legal,legal
https://www.cci.gov.in,legal
https://www.trai.gov.in/legal,legal
https://www.irdai.gov.in/legal,legal
https://www.nclt.gov.in,legal
https://www.nclat.nic.in,legal
https://www.tdsat.gov.in,legal
https://www.ncdrc.nic.in,legal
https://www.loksabhaph.nic.in/legislation,legal
https://www.law.cornell.edu,legal
https://www.justia.com,legal
https://www.findlaw.com,legal
https://www.nolo.com,legal
https://www.avvo.com,legal
https://www.lawyers.com,legal
https://www.martindale.com,legal
https://www.legalmatch.com,legal
https://www.legalzoom.com,legal
https://www.rocketlawyer.com,legal
https://www.lawdepot.com,legal
https://www.upcounsel.com,legal
https://www.contractscounsel.com,legal
https://www.courtlistener.com,legal
https://www.case.law,legal
https://www.pacer.gov,legal
https://www.govinfo.gov,legal
https://www.regulations.gov,legal
https://www.federalregister.gov,legal
https://www.supremecourt.gov,legal
https://www.uscourts.gov,legal
https://www.congress.gov/legislation,legal
https://www.justice.gov,legal
https://www.ftc.gov/legal-library,legal
https://www.sec.gov/litigation,legal
https://www.abajournal.com,legal
https://www.law360.com,legal
https://www.lawcom.gov.uk,legal
https://www.americanbar.org,legal
https://www.americanlawyer.com,legal
https://www.legalweek.com,legal
https://www.thelawyer.com,legal
https://www.lawgazette.co.uk,legal
https://www.rollonfriday.com,legal
https://www.ipwatchdog.com,legal
https://www.patentlyo.com,legal
https://www.barcouncil.org.uk,legal
https://www.lawsociety.org.uk,legal
https://www.legislation.gov.uk,legal
https://www.judiciary.gov.uk,legal
https://www.bailii.org,legal
https://www.globelawandbusiness.com,legal
https://www.ibanet.org,legal
https://www.chambersandpartners.com,legal
https://www.legalbusiness.co.uk,legal
https://www.wipo.int/patents,legal
https://www.trademarkia.com,legal
https://www.amnesty.org,legal
https://www.hrw.org,legal
https://www.icj-cij.org,legal
https://www.icc-cpi.int,legal
https://www.ohchr.org,legal
https://www.icrc.org,legal
